person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,predicted_loan_status,default_probability
21,9600,OWN,5.0,EDUCATION,B,1000,11.14,0,0.1,N,2,0,0.1967571692766802
25,9600,MORTGAGE,1.0,MEDICAL,C,5500,12.87,1,0.57,N,3,1,0.875475696696923
23,65500,RENT,4.0,MEDICAL,C,35000,15.23,1,0.53,N,2,1,0.9476391094008123
24,54400,RENT,8.0,MEDICAL,C,35000,14.27,1,0.55,Y,4,1,0.925334283719142
21,9900,OWN,2.0,VENTURE,A,2500,7.14,1,0.25,N,2,1,0.8485681791761504
26,77100,RENT,8.0,EDUCATION,B,35000,12.42,1,0.45,N,3,1,0.9280468111487192
24,78956,RENT,5.0,MEDICAL,B,35000,11.11,1,0.44,N,4,1,0.9372791357648604
24,83000,RENT,8.0,PERSONAL,A,35000,8.9,1,0.42,N,2,1,0.9171406406555814
21,10000,OWN,6.0,VENTURE,D,1600,14.74,1,0.16,N,3,0,0.4535573525043431
22,85000,RENT,6.0,VENTURE,B,35000,10.37,1,0.41,N,4,1,0.8825507445965336
21,10000,OWN,2.0,HOMEIMPROVEMENT,A,4500,8.63,1,0.45,N,2,1,0.9156757726836006
23,95000,RENT,2.0,VENTURE,A,35000,7.9,1,0.37,N,2,1,0.9182786201316232
26,108160,RENT,4.0,EDUCATION,E,35000,18.39,1,0.32,N,4,1,0.8920207636683203
23,115000,RENT,2.0,EDUCATION,A,35000,7.9,0,0.3,N,4,0,0.06273315347931077
23,500000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,30000,10.65,0,0.06,N,3,0,0.06768263905858433
23,120000,RENT,0.0,EDUCATION,A,35000,7.9,0,0.29,N,4,0,0.06406632088704965
23,92111,RENT,7.0,MEDICAL,F,35000,20.25,1,0.32,N,4,1,0.9622272116442319
23,113000,RENT,8.0,DEBTCONSOLIDATION,D,35000,18.25,1,0.31,N,4,1,0.9320349035972143
24,10800,MORTGAGE,8.0,EDUCATION,B,1750,10.99,1,0.16,N,2,1,0.7640876013724284
25,162500,RENT,2.0,VENTURE,A,35000,7.49,0,0.22,N,4,0,0.039926631303340204
25,137000,RENT,9.0,PERSONAL,E,34800,16.77,0,0.25,Y,2,0,0.23653467910949671
22,65000,RENT,4.0,EDUCATION,D,34000,17.58,1,0.52,N,4,1,0.9171945439561893
24,10980,OWN,0.0,PERSONAL,A,1500,7.29,0,0.14,N,3,0,0.12554503277998616
22,80000,RENT,3.0,PERSONAL,D,33950,14.54,1,0.42,Y,4,1,0.8837334112504149
24,67746,RENT,8.0,HOMEIMPROVEMENT,C,33000,12.68,1,0.49,N,3,1,0.9139155467209311
21,11000,MORTGAGE,3.0,VENTURE,E,4575,17.74,1,0.42,Y,3,1,0.8268823655992767
23,11000,OWN,0.0,PERSONAL,A,1400,9.32,0,0.13,N,3,0,0.1427940808246825
24,65000,RENT,6.0,HOMEIMPROVEMENT,B,32500,9.99,1,0.5,N,3,1,0.9031347068079458
21,11389,OTHER,5.0,EDUCATION,C,4000,12.84,1,0.35,Y,2,1,0.9207153167176056
21,11520,OWN,5.0,MEDICAL,B,2000,11.12,1,0.17,N,3,1,0.7832743625315456
25,120000,RENT,2.0,VENTURE,A,32000,6.62,0,0.27,N,2,0,0.0634257970326126
26,95000,RENT,7.0,HOMEIMPROVEMENT,C,31050,14.17,1,0.33,Y,3,1,0.861256085562933
25,306000,RENT,2.0,DEBTCONSOLIDATION,C,24250,13.85,0,0.08,N,3,0,0.09663469147219624
26,300000,MORTGAGE,10.0,MEDICAL,C,7800,13.49,0,0.03,N,4,0,0.08744501046925414
21,12000,OWN,5.0,EDUCATION,A,2500,7.51,1,0.21,N,4,1,0.8611589887611211
22,48000,RENT,1.0,EDUCATION,E,30000,18.39,1,0.63,N,2,1,0.9683907153504676
24,64000,RENT,8.0,DEBTCONSOLIDATION,D,30000,14.54,1,0.47,Y,3,1,0.9841496929659178
25,75000,RENT,4.0,HOMEIMPROVEMENT,D,30000,16.89,1,0.4,Y,4,1,0.8861324900971614
23,71500,RENT,3.0,DEBTCONSOLIDATION,D,30000,10.99,1,0.42,N,4,1,0.9716931333687089
26,62050,RENT,6.0,MEDICAL,E,30000,17.99,1,0.41,N,2,1,0.9769207537433096
24,12000,OWN,4.0,VENTURE,B,2500,12.69,1,0.21,N,3,1,0.823783473436605
26,300000,MORTGAGE,10.0,VENTURE,A,20000,7.88,0,0.07,N,4,0,0.014888213746755547
23,300000,OWN,1.0,EDUCATION,F,24250,19.41,0,0.08,Y,2,0,0.200768939319704
26,300000,OWN,9.0,HOMEIMPROVEMENT,B,10000,10.38,0,0.03,N,4,0,0.034992115161445264
